Term/Year Code,Coll,Dept,Degree,Major code,Major Name,Conc code,Concentration Name (if any),Total,Men,Women,Unknown,Caucasian,Asian American,African American,Hispanic,Native American,Hawaiian/Pacific Isl,Multiracial,International,Unknown,All   African American,All    Native American,All Hawaiian/ Pac Isl,All Asian,URM,Illinois,Non-Illinois,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120228 , , , , ,***Campus total*** , , ,56644,30705,25831,108,21200,10095,2943,6128,25,29,1640,12736,1848,3686,572,184,11482,9726,30814,25830,
120228 , , , , ,Undergraduate , , ,34942,18680,16235,27,13583,7593,2031,4712,11,11,1233,5312,456,2562,389,132,8667,7188,25363,9579,
120228 , , , , ,Graduate , , ,20409,11554,8777,78,6839,2331,869,1289,13,17,363,7360,1328,1070,171,46,2609,2347,4869,15540,
120228 , , , , ,Professional , , ,1293,471,819,3,778,171,43,127,1,1,44,64,64,54,12,6,206,191,582,711,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120228 ,KL ,  ,  ,  ,"Agr, Cons, Env Sci ",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
120228 ,KL ,306 ,BS ,5895 ,Metropolitan Food & Enviro Sys ,  ,  ,5,4,1,0,3,0,0,2,0,0,0,0,0,0,0,0,0,2,4,1,10KL5895BS
120228 ,KL ,306 ,MS ,5188 ,Agricultural Production ,5166 ,Professional Science Masters ,5,1,4,0,3,0,0,1,0,0,0,1,0,0,0,0,0,1,4,1,1PKS5188MS
120228 ,KL ,306 ,MS ,5599 ,Bioprocessing and Bioenergy ,5166 ,Professional Science Masters ,10,6,4,0,3,0,0,1,0,0,0,6,0,0,0,0,0,1,2,8,1PKS5599MS
120228 ,KL ,342 ,BS ,5740 ,"Ag Ldrship, Ed & Communication ",5736 ,Agricultural Education ,27,8,19,0,24,0,0,2,0,0,1,0,0,1,0,0,0,3,27,0,10KL5736BS
120228 ,KL ,342 ,BS ,5740 ,"Ag Ldrship, Ed & Communication ",5737 ,Org & Community Leadership ,33,14,19,0,26,0,4,0,0,0,2,1,0,5,0,0,1,5,31,2,10KL5737BS
120228 ,KL ,342 ,BS ,5740 ,"Ag Ldrship, Ed & Communication ",5738 ,Ag Communications-Advertising ,29,9,20,0,26,0,1,2,0,0,0,0,0,1,0,0,0,3,28,1,10KL5738BS
120228 ,KL ,342 ,BS ,5740 ,"Ag Ldrship, Ed & Communication ",5739 ,Ag Communications-Journalism ,14,0,14,0,11,0,0,2,0,0,1,0,0,1,0,0,0,3,12,2,10KL5739BS
120228 ,KL ,342 ,MS ,5740 ,"Ag Ldrship, Ed & Communication ",  ,  ,14,2,12,0,12,1,0,1,0,0,0,0,0,0,0,0,1,1,14,0,10KS5740MS
120228 ,KL ,342 ,MS ,5740 ,"Ag Ldrship, Ed & Communication ",  ,  ,20,5,15,0,19,0,0,0,0,0,1,0,0,0,1,0,0,1,19,1,10KS5740MSU
120228 ,KL ,342 ,NDEG ,5740 ,"Ag Ldrship, Ed & Communication ",  ,  ,29,5,24,0,14,0,0,0,0,0,0,0,15,0,0,0,0,0,0,29,10KS5740NDEU
120228 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,5003 ,Agri-Accounting ,56,38,18,0,32,6,2,10,0,0,2,4,0,3,0,1,7,13,50,6,10KL5003BS
