Term/Year Code,Coll,Dept,Degree,Major code,Major Name,Conc code,Concentration Name (if any),Total,Sex: Men,Sex: Women,Sex: Unknown,Ethnicity: Caucasian,Ethnicity: Asian American,Ethnicity: African American,Ethnicity: Hispanic,Ethnicity: Native American,Ethnicity: Hawaiian/Pacific Isl,Ethnicity: Multiracial,Ethnicity: International,Ethnicity: Unknown,All: African American,All: Native American,All: Hawaiian/ Pac Isl,All: Asian,URM,Residency: Illinois,Residency: Non-Illinois,Academic Program Code
120228,KL,306,BS,5895,Metropolitan Food & Enviro Sys,,,5,4,1,0,3,0,0,2,0,0,0,0,0,0,0,0,0,2,4,1,
120228,KL,306,MS,5188,Agricultural Production,,,5,1,4,0,3,0,0,1,0,0,0,1,0,0,0,0,0,1,4,1,
120228,KL,306,MS,5599,Bioprocessing and Bioenergy,,,10,6,4,0,3,0,0,1,0,0,0,6,0,0,0,0,0,1,2,8,
120228,KL,342,BS,5740,"Ag Ldrship, Ed & Communication",,,103,31,72,0,87,0,5,6,0,0,4,1,0,8,0,0,1,14,98,5,
120228,KL,342,MS,5740,"Ag Ldrship, Ed & Communication",,,34,7,27,0,31,1,0,1,0,0,1,0,0,0,1,0,1,2,33,1,
120228,KL,342,NDEG,5740,"Ag Ldrship, Ed & Communication",,,29,5,24,0,14,0,0,0,0,0,0,0,15,0,0,0,0,0,0,29,
120228,KL,470,BS,176,Agr & Consumer Economics,,,733,512,221,0,435,79,33,117,0,0,20,39,10,48,2,4,96,158,661,72,
120228,KL,470,MAAE,5870,Agricultural & Applied Econ,,,6,5,1,0,3,0,0,1,0,0,0,2,0,0,0,0,0,1,4,2,
120228,KL,470,MS,5273,Agricultural & Applied Econ,,,11,4,7,0,6,1,1,0,0,0,0,2,1,1,0,0,1,1,5,6,
120228,KL,470,PHD,5273,Agricultural & Applied Econ,,,56,28,28,0,4,2,0,2,0,0,0,47,1,0,0,0,2,2,3,53,
120228,NB,593,NDEG,67,Nondegree,,,561,325,234,2,159,19,14,13,0,0,3,343,10,17,1,1,22,28,200,361,
120228,KL,483,NONE,5621,ACES Undeclared,,,78,39,39,0,42,6,8,14,0,0,5,2,1,13,4,0,9,26,70,8,
120228,KL,538,BS,2,Animal Sciences,,,533,87,445,1,272,51,32,151,1,0,14,6,6,44,12,3,59,195,490,43,
120228,KL,538,BS,5864,Computer Sci & Animal Sci,,,4,3,1,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,1,
120228,KL,538,BS,8501,Agriculture,,,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,
120228,KL,538,MANSC,2,Animal Sciences,,,14,1,13,0,6,1,4,3,0,0,0,0,0,5,1,0,1,7,12,2,
120228,KL,538,MS,2,Animal Sciences,,,35,8,27,0,27,0,0,1,0,0,1,6,0,1,0,0,0,2,19,16,
120228,LP,992,MS,4026,Bioinformatics,,,17,11,6,0,3,2,0,1,0,0,0,11,0,0,0,0,2,1,3,14,
120228,KL,538,NDEG,2,Animal Sciences,,,24,2,22,0,10,1,0,0,0,0,0,3,10,0,0,0,1,0,2,22,
120228,KL,538,PHD,2,Animal Sciences,,,29,8,21,0,13,2,1,2,0,0,1,10,0,1,1,0,3,3,13,16,
120228,KL,698,BS,37,Food Science & Human Nutrition,,,268,73,195,0,118,57,18,30,1,0,6,35,3,19,1,1,64,51,208,60,
120228,KL,698,MS,37,Food Science & Human Nutrition,,,112,32,80,0,44,16,4,7,0,0,3,37,1,5,1,0,19,12,41,71,
120228,KL,698,PHD,37,Food Science & Human Nutrition,,,44,18,26,0,8,0,0,3,0,0,0,31,2,1,0,0,0,3,5,39,
120228,KL,741,BS,25,Technical Systems Management,,,54,50,4,0,32,3,6,13,0,0,0,0,0,7,1,0,4,19,54,0,
120228,KL,741,BS,6028,Engr Tech & Mgmt for Ag Sys,,,110,91,19,0,55,10,10,29,1,0,2,2,1,13,2,2,13,42,102,8,
120228,KL,741,BSAG,5163,Agricultural & Biological Engr,,,36,17,19,0,25,4,1,2,0,0,1,2,1,1,0,0,5,3,25,11,
120228,KL,741,MS,25,Technical Systems Management,,,11,6,5,0,6,0,1,2,0,0,0,2,0,1,0,0,1,3,8,3,
120228,KL,741,MS,6028,Engr Tech & Mgmt for Ag Sys,,,4,3,1,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,1,3,
120228,KL,793,BS,48,Human Development & Family St,,,245,15,230,0,96,16,37,85,0,0,5,3,3,43,5,1,19,126,237,8,
