Term/Year Code,College Code,College Name,Student level,Total,Gender: Men,Gender: Women,UGender: nknown,Race: Caucasian,Race: Asian American,Race: African American,Race: Hispanic,Race: Native American,Race: Hawaiian/Pacific Isl,Race: Multiracial,Race: International,Race: Unknown,All: African American,All: Native American,All: Hawaiian/ Pac Isl,All: Asian,URM,Residency: Illinois,Residency: Non-Illinois,Enrollment: Part time,Enrollment: Full time
120228,KL ,"Agr, Cons, Env Sci ",Graduate ,755,269,484,2,349,36,15,57,1,0,11,253,33,22,7,0,46,77,260,495,205,550
120228,KM ,Business ,Graduate ,6321,3879,2413,29,2373,1062,290,432,6,9,86,1221,842,342,45,21,1127,783,1666,4655,3737,2584
120228,KN ,Education ,Graduate ,1271,374,892,5,649,80,182,136,0,3,30,114,77,215,24,5,98,338,575,696,924,347
120228,KP ,Grainger Engineering ,Graduate ,5806,4420,1362,24,1097,792,70,184,2,3,90,3262,306,98,33,8,871,287,637,5169,1795,4011
120228,KR ,Fine & Applied Arts ,Graduate ,717,304,412,1,293,46,30,45,1,0,14,286,2,38,5,1,56,83,184,533,55,662
120228,KS ,Graduate College ,Graduate ,14,10,4,0,4,0,0,0,0,0,0,9,1,0,0,0,0,0,2,12,9,5
120228,KT ,Media ,Graduate ,177,70,107,0,62,11,18,16,0,0,3,54,13,21,2,0,13,35,54,123,77,100
120228,KU ,Law ,Graduate ,144,81,63,0,3,1,4,0,0,0,1,134,1,5,1,0,1,5,5,139,7,137
120228,KV ,Liberal Arts & Sci ,Graduate ,2622,1339,1282,1,834,146,66,211,1,1,67,1273,23,102,26,6,203,300,318,2304,207,2415
120228,KY ,Applied Health Sci ,Graduate ,400,149,250,1,168,26,44,40,0,0,8,108,6,53,3,2,32,91,201,199,47,353
120228,LC ,Veterinary Medicine ,Graduate ,167,70,97,0,70,7,3,8,0,0,2,68,9,3,2,0,7,13,26,141,48,119
120228,LG ,Labor & Empl. Rel. ,Graduate ,293,74,216,3,107,45,30,34,1,0,12,63,1,35,8,0,53,70,154,139,113,180
120228,LL ,School of Social Work ,Graduate ,456,73,381,2,297,20,58,57,1,0,11,12,0,67,5,1,25,123,414,42,177,279
120228,LN ,Center Innov in Teach Learn ,Graduate ,79,30,49,0,54,10,5,5,0,0,1,1,3,5,0,0,11,10,3,76,75,4
120228,LP ,School of Information Sciences ,Graduate ,1187,412,765,10,479,49,54,64,0,1,27,502,11,64,10,2,66,132,370,817,383,804
