Term/Year Code,College Code,College Name,Student level,Total,Gender: Men,Gender: Women,UGender: nknown,Race: Caucasian,Race: Asian American,Race: African American,Race: Hispanic,Race: Native American,Race: Hawaiian/Pacific Isl,Race: Multiracial,Race: International,Race: Unknown,All: African American,All: Native American,All: Hawaiian/ Pac Isl,All: Asian,URM,Residency: Illinois,Residency: Non-Illinois,Enrollment: Part time,Enrollment: Full time
120228,KL ,"Agr, Cons, Env Sci ",Undergraduate ,2672,1159,1511,2,1482,272,167,509,3,0,74,132,33,220,34,13,330,719,2356,316,132,2540
120228,KM ,Business ,Undergraduate ,3117,1772,1343,2,1295,729,126,353,1,0,101,474,38,170,29,9,820,512,2360,757,21,3096
120228,KN ,Education ,Undergraduate ,696,69,627,0,407,69,40,134,0,0,24,20,2,48,10,3,91,184,666,30,24,672
120228,KP ,Grainger Engineering ,Undergraduate ,8341,6317,2021,3,2510,2625,136,699,1,2,308,1935,125,196,41,24,2913,901,4418,3923,342,7999
120228,KR ,Fine & Applied Arts ,Undergraduate ,1785,774,1008,3,824,264,132,297,0,1,71,177,19,173,29,6,331,457,1431,354,40,1745
120228,KT ,Media ,Undergraduate ,869,337,531,1,437,107,86,132,1,0,28,73,5,105,14,3,124,233,724,145,30,839
120228,KV ,Liberal Arts & Sci ,Undergraduate ,12163,5855,6299,9,4518,2671,764,1671,2,2,447,1953,135,955,160,42,3057,2595,9040,3123,299,11864
120228,KW ,General Studies ,Undergraduate ,2230,1281,947,2,800,306,229,404,1,4,69,394,23,272,35,13,367,667,1764,466,1,2229
120228,KY ,Applied Health Sci ,Undergraduate ,2218,760,1458,0,1026,359,288,387,2,1,91,48,16,349,26,16,424,723,2045,173,56,2162
120228,LL ,School of Social Work ,Undergraduate ,281,40,240,1,157,11,31,65,0,1,9,6,1,38,8,3,17,103,267,14,7,274
120228,LN ,Center Innov in Teach Learn ,Undergraduate ,109,45,61,3,25,16,4,7,0,0,2,2,53,4,0,0,18,11,0,109,100,9
120228,LP ,School of Information Sciences ,Undergraduate ,442,265,177,0,97,161,21,53,0,0,9,97,4,25,3,0,172,75,277,165,4,438
120228,NB ,Provost & VC Acad Affairs ,Undergraduate ,19,6,12,1,5,3,7,1,0,0,0,1,2,7,0,0,3,8,15,4,19,0
