Year,Race,Level,Total,Subtotal
2017,Unknown,Overall,47826,533
2017,Unknown,Undergraduate ,33624,164
2017,Unknown,Graduate ,13210,326
2017,Unknown,Professional ,992,43
2016,Unknown,Overall,44880,323
2016,Unknown,Undergraduate ,33467,149
2016,Unknown,Graduate ,10428,107
2016,Unknown,Professional ,985,67
2015,Unknown,Overall,44087,428
2015,Unknown,Undergraduate ,32878,231
2015,Unknown,Graduate ,10245,80
2015,Unknown,Professional ,964,117
2014,Unknown,Overall,43603,569
2014,Unknown,Undergraduate ,32579,255
2014,Unknown,Graduate ,10037,153
2014,Unknown,Professional ,987,161
2013,Unknown,Overall,43398,392
2013,Unknown,Undergraduate ,32294,182
2013,Unknown,Graduate ,10080,89
2013,Unknown,Professional ,1024,121
2012,Unknown,Overall,42883,342
2012,Unknown,Undergraduate ,31901,166
2012,Unknown,Graduate ,9881,83
2012,Unknown,Professional ,1101,93
2011,Unknown,Overall,42606,376
2011,Unknown,Undergraduate ,31932,210
2011,Unknown,Graduate ,9551,88
2011,Unknown,Professional ,1123,78
2010,Unknown,Overall,41949,386
2010,Unknown,Undergraduate ,31252,233
2010,Unknown,Graduate ,9584,112
2010,Unknown,Professional ,1113,41
2009,Unknown,Overall,41918,1289
2009,Unknown,Undergraduate ,31209,878
2009,Unknown,Graduate ,9630,226
2009,Unknown,Professional ,1079,185
2008,Unknown,Overall,41495,1019
2008,Unknown,Undergraduate ,31173,664
2008,Unknown,Graduate ,9290,137
2008,Unknown,Professional ,1032,218
2007,Unknown,Overall,40923,990
2007,Unknown,Undergraduate ,30688,644
2007,Unknown,Graduate ,9225,152
2007,Unknown,Professional ,1010,194
2006,Unknown,Overall,41180,962
2006,Unknown,Undergraduate ,30930,588
2006,Unknown,Graduate ,9205,151
2006,Unknown,Professional ,1045,223
2005,Unknown,Overall,40510,803
2005,Unknown,Undergraduate ,30449,553
2005,Unknown,Graduate ,9032,133
2005,Unknown,Professional ,1029,117
2004,Unknown,Overall,39516,698
2004,Unknown,Undergraduate ,29284,471
2004,Unknown,Graduate ,9164,148
2004,Unknown,Professional ,1068,79
2003,Unknown,Overall,38872,874
2003,Unknown,Undergraduate ,28591,484
2003,Unknown,Graduate ,9216,306
